Market dataset loaded
  subset   | # ids | # images
  ---------------------------
  train    |   420 |     3690
  query    |   450 |     2057
  gallery  |   934 |    42929
  camstyle  |     0 |        0
Epoch: [5][3/28]	Time 0.783 (1.500)	Data 0.262 (0.959)	Loss 5.002 (4.903)	Prec 32.03% (34.90%)	
Epoch: [5][4/28]	Time 0.792 (1.323)	Data 0.279 (0.789)	Loss 3.992 (4.675)	Prec 46.09% (37.70%)	
Epoch: [5][5/28]	Time 0.793 (1.217)	Data 0.275 (0.686)	Loss 4.537 (4.647)	Prec 35.16% (37.19%)	
Epoch: [5][6/28]	Time 0.778 (1.144)	Data 0.254 (0.614)	Loss 4.729 (4.661)	Prec 37.50% (37.24%)	
Epoch: [5][7/28]	Time 0.770 (1.090)	Data 0.253 (0.563)	Loss 4.420 (4.627)	Prec 37.50% (37.28%)	
Epoch: [5][8/28]	Time 0.768 (1.050)	Data 0.254 (0.524)	Loss 4.661 (4.631)	Prec 38.28% (37.40%)	
Epoch: [5][9/28]	Time 0.774 (1.019)	Data 0.255 (0.494)	Loss 4.061 (4.568)	Prec 39.06% (37.59%)	
Epoch: [5][10/28]	Time 0.773 (0.995)	Data 0.253 (0.470)	Loss 3.934 (4.504)	Prec 42.19% (38.05%)	
Epoch: [5][11/28]	Time 0.770 (0.974)	Data 0.253 (0.450)	Loss 5.038 (4.553)	Prec 33.59% (37.64%)	
Epoch: [5][12/28]	Time 0.772 (0.957)	Data 0.254 (0.434)	Loss 4.153 (4.519)	Prec 38.28% (37.70%)	
Epoch: [5][13/28]	Time 0.774 (0.943)	Data 0.254 (0.420)	Loss 4.812 (4.542)	Prec 34.38% (37.44%)	
Epoch: [5][14/28]	Time 0.771 (0.931)	Data 0.253 (0.408)	Loss 4.528 (4.541)	Prec 34.38% (37.22%)	
Epoch: [5][15/28]	Time 0.769 (0.920)	Data 0.254 (0.398)	Loss 4.565 (4.542)	Prec 37.50% (37.24%)	
Epoch: [5][16/28]	Time 0.772 (0.911)	Data 0.255 (0.389)	Loss 4.072 (4.513)	Prec 42.97% (37.60%)	
Epoch: [5][17/28]	Time 0.776 (0.903)	Data 0.254 (0.381)	Loss 4.310 (4.501)	Prec 39.84% (37.73%)	
Epoch: [5][18/28]	Time 0.774 (0.896)	Data 0.255 (0.374)	Loss 4.279 (4.489)	Prec 39.06% (37.80%)	
Epoch: [5][19/28]	Time 0.774 (0.889)	Data 0.254 (0.368)	Loss 5.507 (4.542)	Prec 35.16% (37.66%)	
Epoch: [5][20/28]	Time 0.774 (0.884)	Data 0.253 (0.362)	Loss 3.873 (4.509)	Prec 45.31% (38.05%)	
Epoch: [5][21/28]	Time 0.776 (0.879)	Data 0.255 (0.357)	Loss 4.014 (4.485)	Prec 42.97% (38.28%)	
Epoch: [5][22/28]	Time 0.780 (0.874)	Data 0.256 (0.352)	Loss 4.761 (4.498)	Prec 38.28% (38.28%)	
Epoch: [5][23/28]	Time 0.775 (0.870)	Data 0.255 (0.348)	Loss 4.480 (4.497)	Prec 34.38% (38.11%)	
Epoch: [5][24/28]	Time 0.772 (0.866)	Data 0.256 (0.344)	Loss 4.049 (4.478)	Prec 39.84% (38.18%)	
